FPM:   Word:                  Gender:
14     héritage               f -> m 
14     assuré                 f -> m 
14     collège                f -> m 
14     dent                   m -> f 
14     pétrole                f -> m 
13     interrogatoire         f -> m 
13     scandale               f -> m 
13     mélange                f -> m 
13     chapitre               f -> m 
13     principe               f -> m 
13     alpha                  f -> m 
13     symbole                f -> m 
13     satellite              f -> m 
13     luxe                   f -> m 
12     lame                   m -> f 
12     piqué                  f -> m 
12     casque                 f -> m 
12     prime                  m -> f 
12     protocole              f -> m 
12     délire                 f -> m 
12     badge                  f -> m 
12     filé                   f -> m 
12     trône                  f -> m 
12     asile                  f -> m 
12     avoué                  f -> m 
12     octobre                f -> m 
12     domicile               f -> m 
12     texte                  f -> m 
12     blé                    f -> m 
12     cadre                  f -> m 
12     maquillage             f -> m 
12     historique             f -> m 
12     hélicoptère            f -> m 
12     auto                   m -> f 
11     tube                   f -> m 
11     pape                   f -> m 
11     pouce                  f -> m 
11     estime                 m -> f 
11     soda                   f -> m 
11     tournage               f -> m 
11     trouble                f -> m 
11     équilibre              f -> m 
11     usage                  f -> m 
11     linge                  f -> m 
11     jugé                   f -> m 
11     massage                f -> m 
11     novembre               f -> m 
11     opéra                  f -> m 
10     tigre                  f -> m 
10     suisse                 f -> m 
10     périmètre              f -> m 
10     massacre               f -> m 
10     météo                  m -> f 
10     automne                f -> m 
10     acide                  f -> m 
10     fixe                   f -> m 
10     refuge                 f -> m 
10     coke                   f -> m 
10     fleuve                 f -> m 
10     obsédé                 f -> m 
10     sauvetage              f -> m 
10     exposé                 f -> m 
10     pédé                   f -> m 
10     désordre               f -> m 
10     are                    f -> m 
10     décembre               f -> m 
10     came                   m -> f 
9.9    hôte                   f -> m 
9.9    voile                  f -> m 
9.9    règne                  f -> m 
9.9    inverse                f -> m 
9.9    orchestre              f -> m 
9.8    nuage                  f -> m 
9.8    louche                 f -> m 
9.6    cambriolage            f -> m 
9.6    relevé                 f -> m 
9.5    nettoyage              f -> m 
9.5    barbecue               f -> m 
9.4    commentaire            f -> m 
9.4    arraché                f -> m 
9.4    croisé                 f -> m 
9.3    tonnerre               f -> m 
9.3    promo                  m -> f 
9.3    degré                  f -> m 
9.3    flamme                 m -> f 
9.3    chantage               f -> m 
9.2    registre               f -> m 
9.2    chiffre                f -> m 
9.1    orage                  f -> m 
9.1    hommage                f -> m 
9.1    concierge              f -> m 
8.9    atterrissage           f -> m 
8.9    député                 f -> m 
8.8    mâle                   f -> m 
8.8    gré                    f -> m 
8.8    beau-père              f -> m 
8.8    sabre                  f -> m 
8.7    conte                  f -> m 
8.7    défilé                 f -> m 
8.6    nounou                 m -> f 
8.5    roulé                  f -> m 
8.4    calibre                f -> m 
8.4    arabe                  f -> m 
8.2    caca                   f -> m 
8.2    gage                   f -> m 
8.2    âne                    f -> m 
8.1    suicidé                f -> m 
8.1    supermarché            f -> m 
8      triple                 f -> m 
8      aîné                   f -> m 
7.9    aigle                  f -> m 
7.9    barrage                f -> m 
7.9    nègre                  f -> m 
7.8    pacte                  f -> m 
7.8    prétexte               f -> m 
7.8    vice                   f -> m 
7.7    opposé                 f -> m 
7.7    missile                f -> m 
7.6    chômage                f -> m 
7.6    isolé                  f -> m 
7.6    coca                   f -> m 
7.5    score                  f -> m 
7.5    formulaire             f -> m 
7.5    yoga                   f -> m 
7.4    braquage               f -> m 
7.4    cigare                 f -> m 
7.4    vertu                  m -> f 
7.3    maigre                 f -> m 
7.3    trophée                f -> m 
7.3    office                 f -> m 
7.3    age                    f -> m 
7.2    privilège              f -> m 
7.2    obstacle               f -> m 
7.2    pourboire              f -> m 
7.1    montage                f -> m 
7.1    claude                 f -> m 
7.1    puzzle                 f -> m 
7.1    beau-frère             f -> m 
7.1    square                 f -> m 
7.1    voisinage              f -> m 
7.1    delta                  f -> m 
7      réclame                m -> f 
7      moine                  f -> m 
7      assisté                f -> m 
7      phénomène              f -> m 
7      carré                  f -> m 
7      agenda                 f -> m 
6.9    cycle                  f -> m 
6.9    stage                  f -> m 
6.9    adopté                 f -> m 
6.9    hart                   m -> f 
6.8    plume                  m -> f 
6.8    comique                f -> m 
6.8    mile                   f -> m 
6.7    pique-nique            f -> m 
6.7    imaginaire             f -> m 
6.7    torse                  f -> m 
6.6    rime                   m -> f 
6.6    sida                   f -> m 
6.6    cookie                 f -> m 
6.4    naze                   f -> m 
6.4    composé                f -> m 
6.3    hourra                 f -> m 
6.3    coude                  f -> m 
6.3    artifice               f -> m 
6.2    sanctuaire             f -> m 
6.2    chassé                 f -> m 
6.2    ciné                   f -> m 
6.2    exemplaire             f -> m 
6.2    relâche                f -> m 
6.2    antidote               f -> m 
6.1    mètre                  f -> m 
6.1    tremble                f -> m 
6.1    diplômé                f -> m 
6      paysage                f -> m 
6      autographe             f -> m 
6      insigne                f -> m 
6      reportage              f -> m 
6      mythe                  f -> m 
5.9    prophète               f -> m 
5.9    contexte               f -> m 
5.9    énigme                 m -> f 
5.8    cellulaire             f -> m 
5.8    semestre               f -> m 
5.8    lavage                 f -> m 
5.8    curé                   f -> m 
5.7    carbone                f -> m 
5.7    triomphe               f -> m 
5.7    horaire                f -> m 
5.6    pentagone              f -> m 
5.6    bénéfice               f -> m 
5.6    recommandé             f -> m 
5.6    chauffage              f -> m 
5.6    documentaire           f -> m 
5.6    greffe                 f -> m 
5.5    espionnage             f -> m 
5.5    visa                   f -> m 
5.5    séminaire              f -> m 
5.4    insecte                f -> m 
5.4    reproche               f -> m 
5.4    sinistre               f -> m 
5.4    bien-être              f -> m 
5.4    décollage              f -> m 
5.4    dot                    m -> f 
5.3    muscle                 f -> m 
5.3    esclavage              f -> m 
5.3    gamme                  m -> f 
5.2    bouddha                f -> m 
5.2    culte                  f -> m 
5.2    communiqué             f -> m 
5.2    cliché                 f -> m 
5.1    comble                 f -> m 
5.1    repère                 f -> m 
5.1    centre-ville           f -> m 
5.1    parapluie              f -> m 
5      jade                   f -> m 
5      inventaire             f -> m 
5      gymnase                f -> m 
5      cuivre                 f -> m 
5      peigne                 f -> m 
5      soutien-gorge          f -> m 
5      drone                  f -> m 
5      vestiaire              f -> m 
5      participe              f -> m 
5      itinéraire             f -> m 
5      spécifique             f -> m 
4.9    manifeste              f -> m 
4.9    pâté                   f -> m 
4.9    virage                 f -> m 
4.9    bridge                 f -> m 
4.9    globe                  f -> m 
4.9    module                 f -> m 
4.9    maitre                 f -> m 
4.9    parasite               f -> m 
4.9    résumé                 f -> m 
4.8    labyrinthe             f -> m 
4.8    phare                  f -> m 
4.8    parachute              f -> m 
4.8    grade                  f -> m 
4.8    gorille                f -> m 
4.8    doublé                 f -> m 
4.7    coutume                m -> f 
4.7    envoye                 f -> m 
4.7    live                   f -> m 
4.6    palace                 f -> m 
4.6    bien-aimé              f -> m 
4.6    gène                   f -> m 
4.6    crabe                  f -> m 
4.6    triangle               f -> m 
4.5    malaise                f -> m 
4.5    nocturne               f -> m 
4.5    squelette              f -> m 
4.4    bronze                 f -> m 
4.4    chimio                 m -> f 
4.4    procédé                f -> m 
4.4    solde                  f -> m 
4.4    pôle                   f -> m 
4.4    poivre                 f -> m 
4.3    encontre               f -> m 
4.3    karaté                 f -> m 
4.3    fossé                  f -> m 
4.3    évolué                 f -> m 
4.3    messire                f -> m 
